src_lang	tgt_lang	src	tgt
eng_Latn	tel_Telu	can i order takeaway dinner from byron's	హోటల్ షాదాబ్ నుంచి టేక్ అవే డిన్నర్ నేను ఆర్డర్ చెయ్యవచ్చా
eng_Latn	tel_Telu	does byron's supports takeaways	బైరాన్ యొక్క టేకావేలు ఇస్తుందా
eng_Latn	tel_Telu	set an alarm for twelve	పన్నెండు కి అలారం పెట్టు
eng_Latn	tel_Telu	set an alarm forty minutes from now	ఇప్పటి నుండి నలభై నిముషాలు కి అలారం పెట్టు
eng_Latn	tel_Telu	set alarm for eight every weekday	ప్రతి వారం రోజు ఎనిమిది కి అలారం సెట్ చేయండి
eng_Latn	tel_Telu	is it raining	వాన కురుస్తున్నదా
eng_Latn	tel_Telu	is it going to rain	వర్షం పడుతుందా
eng_Latn	tel_Telu	is it currently snowing	ఇప్పుడు మంచు పడుతోందా
eng_Latn	tel_Telu	what's the weeks forecast	వారాల అంచనా ఏమిటి
eng_Latn	tel_Telu	what's the week's forecast	ఈ వారం వాతావరణ ప్రకటనలు ఏమిటి
eng_Latn	tel_Telu	what's this weeks weather	ఈ వారం వాతావరణము ఏమిటి
eng_Latn	tel_Telu	what's this week's weather	ఈ వారం వాతావరణం ఎలా ఉంది
eng_Latn	tel_Telu	tell me the weather this week	ఈ వారం వాతావరణం నాకు చెప్పండి
eng_Latn	tel_Telu	tell me b. b. c. news	నాకు చెప్పు బి. బి. సి. వార్తలు
eng_Latn	tel_Telu	what's the news on b. b. c. news	బి.బి.సి. వార్తలు లో న్యూస్ ఎంటి
eng_Latn	tel_Telu	what is the b. b. c.'s latest news	బి. బి. సి. లో తాజా వార్తలు ఏంటి
eng_Latn	tel_Telu	play hurts like heaven	నా నా కర్తే ప్లే చేయి
eng_Latn	tel_Telu	play a song i like	నాకు నచ్చిన పాటను ప్లే చేయండి
eng_Latn	tel_Telu	put on cannibal queen	విరించినై విరచించితిని పెట్టు
eng_Latn	tel_Telu	play daft punk	పరిక్రమ ఆడండి
eng_Latn	tel_Telu	put on some coldplay	కొన్ని చరణ్ పాటలు పెట్టు
eng_Latn	tel_Telu	play some david bowie	కొన్ని డేవిడ్ బోవీ ప్లే చేయి
eng_Latn	tel_Telu	loop this track	ఈ ట్రాక్‌ని లూప్ చేయండి
eng_Latn	tel_Telu	shuffle this playlist	ఈ ప్లేలిస్ట్ ను షఫుల్ చేయి
eng_Latn	tel_Telu	set the volume to low	వాల్యూమ్‌ను తక్కువగా సెట్ చేయండి
eng_Latn	tel_Telu	what's playing	ఏమి ఆడుతోంది
eng_Latn	tel_Telu	what music is this	ఇది ఏమి సంగీతం
eng_Latn	tel_Telu	tell me the artist of this song	ఈ పాట ఆర్టిస్ట్ ఎవరో చెప్పండి
eng_Latn	tel_Telu	make me laugh	నన్ను నవ్వించు
eng_Latn	tel_Telu	olly make me laugh	ఒల్లీ నన్ను నవ్వించండి
eng_Latn	tel_Telu	tell me a good joke	నాకు ఒక బాగా నవ్వుకునే జోక్ చెప్పు
eng_Latn	tel_Telu	send a giggle my way	నవ్వు నా దారికి పంపు
eng_Latn	tel_Telu	tell me a joke	నాకు ఒక జోక్ చెప్పండి
eng_Latn	tel_Telu	olly tell me a joke	రాజు నాకు ఒక జోక్ చెప్పు
eng_Latn	tel_Telu	alexa tell me a joke	alexa నాకు ఒక జోక్ చెప్పు
eng_Latn	tel_Telu	cheer me up	నన్ను ఉల్లాసపరచండి
eng_Latn	tel_Telu	what's the day today	ఈ రోజు ఏమిటి
eng_Latn	tel_Telu	what's the date	తేదీ ఏమిటి
eng_Latn	tel_Telu	tell me about today	ఈ రోజు గురించి చెప్పు
eng_Latn	tel_Telu	order a pizza	పిజ్జా ఆర్డర్ చేయండి
eng_Latn	tel_Telu	order me a byron from deliveroo	పారడైజ్ నుంచి బిర్యానీ నాకు ఆర్డర్ చేయి
eng_Latn	tel_Telu	order a takeaway	టేక్ అవే ఆర్డర్ చేయి
eng_Latn	tel_Telu	when is my order arriving	నా ఆర్డర్ ఎప్పుడు వస్తుంది
eng_Latn	tel_Telu	how long until my takeaway	నా తీసుకెళ్ళడం ఇంకా ఎంత సమయము పడుతుంది
eng_Latn	tel_Telu	domino's delivery status	డోమినోస్ డెలివరి పరిస్థితి
eng_Latn	tel_Telu	tell me the name of the song	పాట పేరు చెప్పండి
eng_Latn	tel_Telu	which song is that	అది ఏ పాట
eng_Latn	tel_Telu	play my jazz playlist	నా జాజ్ ప్లేజాబితాను ప్లే చేయండి
eng_Latn	tel_Telu	start my jazz playlist	నా జాజ్ ప్లేజాబితా ప్రారంభించండి
eng_Latn	tel_Telu	play my favorite playlist	నాకు ఇష్టమైన ప్లేజాబితాను ప్లే చేయండి
eng_Latn	tel_Telu	that's a good song	అది మంచి పాట
eng_Latn	tel_Telu	i don't like it	నాకు అది ఇష్టం లేదు
eng_Latn	tel_Telu	i like it	అది నాకు ఇష్టం
eng_Latn	tel_Telu	i like jazz	నాకు జాజ్ అంటే ఇష్టం
eng_Latn	tel_Telu	can you play some jazz	నువ్వు కొన్ని జాజ్ వాయించగలవా
eng_Latn	tel_Telu	i like to listen to jazz	నాకు జాజ్ వినడం ఇష్టం
eng_Latn	tel_Telu	olly i like to listen to jazz	olly నాకు జాజ్ వినడం ఇష్టం
eng_Latn	tel_Telu	this song was very good	ఈ పాట చాలా బాగున్నింది
eng_Latn	tel_Telu	i like this song	ఈ పాట నాకు ఇష్టం
eng_Latn	tel_Telu	play it again please	దయచేసి దీన్ని మళ్లీ ప్లే చేయి
eng_Latn	tel_Telu	change the volume	వాల్యూమ్ మార్చు
eng_Latn	tel_Telu	enable shuffle	షఫుల్‌ని ప్రారంభించండి
eng_Latn	tel_Telu	save settings	అమరికలను భద్రపరచు
eng_Latn	tel_Telu	set brightness to fifty percent	ప్రకాశాన్ని యాభై శాతానికి సెట్ చేయండి
eng_Latn	tel_Telu	turn down the brightness	ప్రకాశాన్ని క్రిందికి తగ్గించండి
eng_Latn	tel_Telu	reduce the brightness	ప్రకాశాన్ని తగ్గించండి
eng_Latn	tel_Telu	lower the lights	లైట్లు తగ్గించండి
eng_Latn	tel_Telu	decrease brightness	ప్రకాశం తగ్గుతుంది
eng_Latn	tel_Telu	dim the lights	లైట్లు డిమ్ చేయండి
eng_Latn	tel_Telu	olly dim the lights	ఓలీ లైట్లు డిమ్
eng_Latn	tel_Telu	make me a coffee	నాకు కాఫీ చేయి
eng_Latn	tel_Telu	olly make me a coffee	ఒల్లీ నాకు కాఫీ పెట్టు
eng_Latn	tel_Telu	i need a coffee	నాకు లాతె కావాలి
eng_Latn	tel_Telu	i fancy some coffee now	నాకు ఇప్పుడు కాఫీ ఇష్టం
eng_Latn	tel_Telu	how are you	మీరు ఎలా ఉన్నారు
eng_Latn	tel_Telu	hey hey	హే హే
eng_Latn	tel_Telu	can they provide takeaway	వాళ్ళు టేక్ అవే ఇస్తారా
eng_Latn	tel_Telu	can they do delivery	వారు డెలివరీ చేయగలరా
eng_Latn	tel_Telu	do they deliver home	వాళ్ళు హోమ్ డెలివర్ చేస్తారా
eng_Latn	tel_Telu	olly do they deliver home	ఒల్లీ వారు ఇంటికి పంపిణీ చేస్తారా
eng_Latn	tel_Telu	set alarm at ten am	పది ఏ.ఎం. కి అలారం పెట్టండి
eng_Latn	tel_Telu	set alarm tomorrow at six am	రేపు ఉదయం ఆరు గంటలు అలారం సెట్ చేయి
eng_Latn	tel_Telu	set wake up thursday seven am	గురువారం ఉదయం ఏడు కు లేచేలా పెట్టు
eng_Latn	tel_Telu	tell me the latest technology news	తాజా సాంకేతిక విజ్ఞానం న్యూస్ నాకు చెప్పుము
eng_Latn	tel_Telu	tell me latest technology news	సాంకేతిక పరిజ్ఞానం మీద న్యూస్ నాకు చెప్పుము
eng_Latn	tel_Telu	tell me some business news	నాకు స్టాక్ మార్కెట్ సమాచారము చెప్పుము
eng_Latn	tel_Telu	tell me international news	నాకు అంతర్జాతీయ వార్తలు చెప్పండి
eng_Latn	tel_Telu	tell me the weather	నాకు వాతావరణం చెప్పు
eng_Latn	tel_Telu	what is the weather now	వాతావరణము ఇప్పుడు ఎలా వుంది
eng_Latn	tel_Telu	is it raining now	ఇప్పుడు వర్షం కురుస్తుందా
eng_Latn	tel_Telu	play my rock playlist	నా రాక్ ప్లేజాబితా ప్లే చేయి
eng_Latn	tel_Telu	turn on my michael jackson playlist	నా మైఖేల్ జాక్సన్ ప్లేలిస్టు ఆన్ చేయి
eng_Latn	tel_Telu	play michael jackson from my playlist	నా ప్లేలిస్టు లో ఎల్విస్ ప్రెస్లి ప్లే చేయి
eng_Latn	tel_Telu	turn on my playlist and play third song in the queue	నా ప్లేజాబితాను ఆన్ చేసి వరుస లో మూడవ పాట ప్లే చేయి
eng_Latn	tel_Telu	play last song from my favorite playlist	నాకు ఇష్టమైన ప్లేజాబితా నుండి చివరి పాటను వాయించండి
eng_Latn	tel_Telu	turn up the volume	వాల్యూమ్ పెంచండి
eng_Latn	tel_Telu	volume up	వాల్యూమ్ పెంచు
eng_Latn	tel_Telu	mute volume	వాల్యూమ్ మ్యూట్
eng_Latn	tel_Telu	turn on the plug	ప్లగ్ ఆన్ చెయ్యి
eng_Latn	tel_Telu	switch on the plug	ప్లగ్ ఆన్ చేయండి
eng_Latn	tel_Telu	turn on my plug	నా ప్లగ్ టర్న్ ఆన్ చేయి
eng_Latn	tel_Telu	tell me some joke	నాకు ఒక జోక్ చెప్పు
eng_Latn	tel_Telu	do you know any joke	మీకు ఏదైనా పని మీద జోక్ తెలుసా
eng_Latn	tel_Telu	what is the time	టైం ఎంత
eng_Latn	tel_Telu	tell me the time	సమయము చెప్పు
eng_Latn	tel_Telu	what time is it	ఇప్పుడు సమయం ఎంత
eng_Latn	tel_Telu	does dominoes do takeaway	డొమినోస్ టేక్‌అవే చేస్తుంది
eng_Latn	tel_Telu	does my favorite pizza place available for takeaway	నా ఇష్టమైన మెక్సికన్ ఫుడ్ స్థానము టేక్ అవే ఇస్తుందా
eng_Latn	tel_Telu	can i order takeaway from spanish place	తలాస ఈటరి బార్ నుంచి టేక్ అవే ఆర్డర్ చెయ్యవచ్చా నేను
eng_Latn	tel_Telu	delete the alarm i just set	నేను ఇప్పుడే పెట్టిన అలారంను తీసివేయి
eng_Latn	tel_Telu	remove the alarm	అలారం తొలగించండి
eng_Latn	tel_Telu	show me the alarms i set	నేను సెట్ చేసిన అలారములు నాకు చూపించు
eng_Latn	tel_Telu	do i have any alarms	నాకు ఏమైనా అలారంలు ఉన్నాయా
eng_Latn	tel_Telu	show alarms	అలారములు చూపించు
eng_Latn	tel_Telu	how's the weather like in beijing	ఇటానగర్ లో వాతావరణం ఎలా ఉంది
eng_Latn	tel_Telu	tell me the weather in shanghai	షాంఘై లో వాతావరణం చెప్పండి
eng_Latn	tel_Telu	please make the lights reading friendly	లైట్స్ చదవటానికి వీలుగా దయచేసి చేయి
eng_Latn	tel_Telu	please make the lights watching friendly	లైట్స్ చూడడానికి వీలుగా చేయి ప్లీజ్
eng_Latn	tel_Telu	make the room brighter	గదిని ప్రకాశవంతంగా చేయండి
eng_Latn	tel_Telu	and the light began	మరియు కాంతి ప్రారంభమైంది
eng_Latn	tel_Telu	what's date today	ఈ రోజు తేదీ ఏమిటి
eng_Latn	tel_Telu	what day is today	ఈ రోజు ఏమి వారం
eng_Latn	tel_Telu	tell me a date	నాకు తేదీ చెప్పు
eng_Latn	tel_Telu	how is the weather like today	ఈరోజు వాతావరణం ఎలా ఉంది
eng_Latn	tel_Telu	is it raining outside	బయట వాన పడుతోంది
eng_Latn	tel_Telu	is it raining outside olly	బయట వర్షం పడుతోంది కదా ఒల్లీ
eng_Latn	tel_Telu	should i bring an umbrella tomorrow	నేను రేపు గొడుగు తీసుకువచ్చేదా
eng_Latn	tel_Telu	play music from my rock list	నా రాక్ జాబితా నుండి సంగీతాన్ని ప్లే చేయండి
eng_Latn	tel_Telu	change the lights into green	లైట్స్ గ్రీన్ కి మార్చు
eng_Latn	tel_Telu	add this song to my favorite list	ఈ పాటను నాకు ఇష్టమైన జాబితాలో చేర్చు
eng_Latn	tel_Telu	what is this song	ఈ పాట ఏంటి
eng_Latn	tel_Telu	olly lights off	ఒల్లీ లైట్స్ ఆఫ్
eng_Latn	tel_Telu	lights off	లైట్లు ఆఫ్
eng_Latn	tel_Telu	clean the floor please	దయచేసి నేల శుభ్రం చేయండి
eng_Latn	tel_Telu	turn on the rice cooker socket	రైస్ కుక్కర్ సాకెట్ ఆన్ చేయండి
eng_Latn	tel_Telu	turn off the rice cooker socket	రైస్ కుక్కర్ సాకెట్ ఆఫ్ చేయండి
eng_Latn	tel_Telu	what time is it in las vegas	లాస్ వేగాస్‌లో సమయం ఎంత
eng_Latn	tel_Telu	what time is it in beijing	బీజింగ్‌లో సమయం ఎంత సమయం ఎంత
eng_Latn	tel_Telu	could you please help me to order some sushi from deliveroo	తందూరీ పేలెస్ నుంచి కొంత చికెన్ దమ్ బిర్యానీ ఆర్డర్ చెయ్యటానికి సహాయము చెయ్యగలవా ప్లీజ్
eng_Latn	tel_Telu	set an alarm at six in the morning	ఉదయము ఆరు కి అలారం పెట్టు
eng_Latn	tel_Telu	set an alarm for four in the afternoon	మధ్యాహ్నము నాలుగు కి అలారం పెట్టు
eng_Latn	tel_Telu	olly alert me at three p. m. to go to the concert	మూడు పి. ఎం. కు నన్ను అప్రమత్తం కచేరీకి వెళ్ళమని
eng_Latn	tel_Telu	alert me at three p. m. to go to the concert	సాయంత్రం మూడున్నర గంటలు కి నన్ను అలెర్ట్ చేయి కచేరి కి వెళ్ళాలి
eng_Latn	tel_Telu	do i have an alarm set for morning flight	నేను ఉదయం విమానానికి అలారం సెట్ చేశానా
eng_Latn	tel_Telu	did i set an alarm to wake up in the morning	నేను ఉదయం నిద్ర లే వటానికి అలారం పెట్టానా
eng_Latn	tel_Telu	are there any alarms	ఏమైనా అలారంలు వున్నాయా
eng_Latn	tel_Telu	is it raining in barcelona	హైదరాబాద్‌ లో వర్షం కురుస్తోంది
eng_Latn	tel_Telu	will it rain today	ఈ రోజు వర్షం పడుతుందా
eng_Latn	tel_Telu	what's going on outside	బయట ఏం జరుగుతోంది
eng_Latn	tel_Telu	what's happening in america	ఇండియా లో ఏమి జరుగుతోంది
eng_Latn	tel_Telu	what's going on in the world	జెనీవా లో ఏమి జరుగుతోంది
eng_Latn	tel_Telu	what's happening in cambridge	చెన్నైలో ఏమి జరుగుతోంది
eng_Latn	tel_Telu	show me some news from b. b. c.	ఉర్దూ న్యూస్ ఛానెల్స్ నుండి నాకు కొన్ని వార్తలను చూపించు
eng_Latn	tel_Telu	olly show me some news from b. b. c.	ఓలి b. b. c. నుంచి కొన్ని న్యూస్ చూపించు
eng_Latn	tel_Telu	play c. n. n. news	c. n. n. న్యూస్ ప్లే చేయి
eng_Latn	tel_Telu	olly hackernews	ఒల్లీ హ్యాకర్ వార్తలు
eng_Latn	tel_Telu	play me some hihop	నాకు కొంచెం హిహాప్ ఆడండి
eng_Latn	tel_Telu	i feel like jazz right now how about you	నేను ఇప్పుడు జాజ్ లాగా ఉన్నాను మీరు ఎలా ఉన్నారు
eng_Latn	tel_Telu	olly death metal now	ఓలీ డెత్ మెటల్ ఇప్పుడు
eng_Latn	tel_Telu	death metal now	ఇప్పుడు డెత్ మెటల్
eng_Latn	tel_Telu	olly play a good track from my favorite jazz player	olly నాకు ఇష్టమైన జాజ్ player నుండి మంచి ట్రాక్ ప్లే చేస్తున్నాను
eng_Latn	tel_Telu	olly what music do i usually like after work	ఒల్లీ నేను సాధారణంగా పని తర్వాత ఏ సంగీతాన్ని ఇష్టపడతాను
eng_Latn	tel_Telu	olly play music from my favorite pianist	నాకు ఇష్టమైన పియానిస్ట్ నుండి ఒల్లీ సంగీతాన్ని ప్లే చేయండి
eng_Latn	tel_Telu	i can't hear you	మీ మాట వినిపించడం లేదు
eng_Latn	tel_Telu	you're too loud	మీరు చాలా బిగ్గరగా ఉన్నారు
eng_Latn	tel_Telu	i can barely hear you olly	నేను నీ మాట వినలేను
eng_Latn	tel_Telu	i can barely hear you	నేను మీరు వినలేను
eng_Latn	tel_Telu	turn the lights blue	లైట్లు నీలం కి టర్న్ చేయి
eng_Latn	tel_Telu	let's have the lights blue	లైట్లు నీలం చేద్దాము
eng_Latn	tel_Telu	make the lights shine blue	లైట్లను నీలం రంగులో మెరిసేలా చేయండి
eng_Latn	tel_Telu	olly good night lights off	ఓలి శుభ రాత్రి లైట్స్ ఆఫ్ చేయి
eng_Latn	tel_Telu	it's awfully dark here	ఇక్కడ చాలా చీకటిగా ఉంది
eng_Latn	tel_Telu	make the lights brighter	లైట్లు ప్రకాశవంతంగా చేయండి
eng_Latn	tel_Telu	olly it's too dark i can't even see my hands	ఓలీ చాలా చీకటిగా ఉంది నా చేతులు కూడా నాకు కనిపించవు
eng_Latn	tel_Telu	what's the time	సమయం ఎంత
eng_Latn	tel_Telu	what's the time in tokyo now	టోక్యోలో ఇప్పుడు సమయం ఎంత
eng_Latn	tel_Telu	what is the song	పాట ఏమిటి
eng_Latn	tel_Telu	olly what is the song	ఒల్లీ పాట ఏమిటి
eng_Latn	tel_Telu	what the singer meant by the title of the song bohemian rhapsody	ఇండియన్ రైన్ పాట టైటిల్ ద్వారా గాయకుడు అర్థం చేసుకున్నాడు
